City,Vehicle Type,Weather,Economic Condition,Day Of Week,Hour Of Day,Speed,Is Peak Hour,Random Event Occurred,Energy Consumption,Traffic Density
Mumbai,Car,Snowy,Stable,Sunday,20,29.4268,0,0,14.7134,0.5241
Chennai,Rickshaw,Hot,Recession,Wednesday,2,118.8,0,0,143.5682,0.3208
Kolkata,Bike,Hot,Recession,Wednesday,16,100.3904,0,0,91.264,0.0415
Pune,Car,Clear,Booming,Thursday,8,76.8,1,0,46.0753,0.1811
Chennai,Bike,Hot,Stable,Saturday,16,45.2176,0,0,40.1934,0.4544
Bengalore,Bike,Snowy,Recession,Thursday,20,30.5179,0,0,37.5562,0.0843
Pune,Bike,Rainy,Recession,Monday,21,43.9222,0,0,39.042,0.0293
Pune,Bike,Snowy,Stable,Friday,20,20.4236,0,0,18.1543,0.1393
Delhi,Car,Snowy,Recession,Saturday,7,69.9735,0,0,41.8502,0.1505
Mumbai,Car,Snowy,Booming,Saturday,15,37.9431,0,0,18.9715,0.2485
Kolkata,Car,Snowy,Stable,Saturday,13,29.5809,1,0,14.1535,0.0626
Delhi,Car,Clear,Booming,Tuesday,7,40.4778,1,0,18.399,0.5179
Bengalore,Bike,Clear,Recession,Sunday,7,87.8801,0,0,79.891,0.1248
Kolkata,Bike,Storm,Recession,Sunday,10,60.0447,0,0,57.459,0.0342
Pune,Car,Hot,Booming,Monday,8,70.2698,1,0,35.1349,0.2389
Pune,Bus,Rainy,Booming,Friday,9,66.8856,0,0,66.8856,0.2521
Kolkata,Bike,Snowy,Booming,Monday,21,126.7644,0,0,107.1712,0.0784
Delhi,Rickshaw,Clear,Recession,Friday,21,87.0448,0,0,118.6975,0.1352
Pune,Car,Hot,Booming,Friday,3,62.3252,0,0,31.1626,0.2185
Bengalore,Bike,Hot,Stable,Wednesday,19,67.2491,0,0,56.607,0.1994
Pune,Bike,Rainy,Stable,Saturday,1,69.0747,0,0,55.2598,0.2113
Pune,Bike,Storm,Recession,Saturday,19,32.5679,0,0,26.0543,0.055
Pune,Bus,Rainy,Recession,Thursday,5,94.7111,0,0,94.7111,0.0984
Mumbai,Bike,Snowy,Recession,Monday,10,118.7922,0,0,95.0338,0.0588
Delhi,Rickshaw,Clear,Booming,Friday,12,114.4823,0,0,156.1122,0.4281
